,d,beta,re_prior,experiment,exp_type,mse_X,sigma_b0_est,sigma_b1_est,n_epoch,time
76,1,0.001,1,0,svgpvae_16_2,0.625148395,,,199,124.5296066
77,1,0.001,1,0,vrae,1.156691577,,,200,59.47516537
78,1,0.001,1,1,svgpvae_16_2,0.649532649,,,199,122.4067898
79,1,0.001,1,1,vrae,1.163835369,,,200,59.75474882
80,1,0.001,1,2,svgpvae_16_2,0.609564578,,,199,122.3264081
81,1,0.001,1,2,vrae,1.15844615,,,200,59.1177628
82,1,0.001,1,3,svgpvae_16_2,0.639934146,,,199,122.5944498
83,1,0.001,1,3,vrae,1.181071549,,,200,59.23411846
84,1,0.001,1,4,svgpvae_16_2,0.639058943,,,199,122.2370355
85,1,0.001,1,4,vrae,1.160497475,,,200,59.40502429
86,2,0.001,1,0,svgpvae_16_2,0.498011912,,,199,213.1027954
87,2,0.001,1,0,vrae,1.150738262,,,200,59.35028577
88,2,0.001,1,1,svgpvae_16_2,0.484621931,,,199,213.2564623
89,2,0.001,1,1,vrae,1.164452735,,,200,59.30950427
90,2,0.001,1,2,svgpvae_16_2,0.477162012,,,199,213.2143829
91,2,0.001,1,2,vrae,1.150106977,,,200,59.17332888
92,2,0.001,1,3,svgpvae_16_2,0.485335751,,,199,213.0054231
93,2,0.001,1,3,vrae,1.166492512,,,200,58.97762084
94,2,0.001,1,4,svgpvae_16_2,0.498191604,,,199,212.6700244
95,2,0.001,1,4,vrae,1.177741966,,,200,58.89670372
96,5,0.001,1,0,svgpvae_16_2,0.852903447,,,199,482.5000808
97,5,0.001,1,0,vrae,1.14664003,,,200,59.02515697
98,5,0.001,1,1,svgpvae_16_2,1.250719755,,,199,483.6188579
99,5,0.001,1,1,vrae,1.185361151,,,200,59.36554551
100,5,0.001,1,2,svgpvae_16_2,0.75992464,,,199,483.2171555
101,5,0.001,1,2,vrae,1.155196708,,,200,59.43834043
102,5,0.001,1,3,svgpvae_16_2,1.079578164,,,199,483.2559075
103,5,0.001,1,3,vrae,1.171043975,,,200,59.2220161
104,5,0.001,1,4,svgpvae_16_2,0.909108571,,,199,482.9428296
105,5,0.001,1,4,vrae,1.172539504,,,200,59.50609684
