,d,beta,re_prior,experiment,exp_type,mse_X,sigma_b0_spatial_est,n_epoch,time
77,5,0.001,0.001,2,vae-ohe,0.019210171,,200,225.4290879
78,5,0.001,0.001,2,vae-em,0.005832459,,200,66.22359776
79,5,0.001,0.001,3,lmmvae,0.004078137,9.16E-06,200,109.5270157
80,5,0.001,0.001,3,pca-ignore,0.009486307,,,0.131865025
81,5,0.001,0.001,3,pca-ohe,0.010160421,,,7.204326153
82,5,0.001,0.001,3,vae-ignore,0.005237845,,200,60.04004145
83,5,0.001,0.001,3,vae-ohe,0.019981018,,200,221.1569066
84,5,0.001,0.001,3,vae-em,0.005990625,,200,65.21722817
85,5,0.001,0.001,4,lmmvae,0.004345861,1.11E-05,200,107.1713459
86,5,0.001,0.001,4,pca-ignore,0.009918149,,,0.132213354
87,5,0.001,0.001,4,pca-ohe,0.010167525,,,7.317822218
88,5,0.001,0.001,4,vae-ignore,0.005296347,,200,58.089643
89,5,0.001,0.001,4,vae-ohe,0.019245669,,200,215.2922232
90,5,0.001,0.001,4,vae-em,0.005693522,,200,63.11785483
91,1,0.001,0.001,0,svgpvae_16_2,0.019693007,,199,319.3190427
92,1,0.001,0.001,1,svgpvae_16_2,0.022678493,,199,308.5766966
93,1,0.001,0.001,2,svgpvae_16_2,0.022922082,,199,298.410141
94,1,0.001,0.001,3,svgpvae_16_2,0.021336151,,199,291.948348
95,1,0.001,0.001,4,svgpvae_16_2,0.024641693,,199,281.5555747
96,2,0.001,0.001,0,svgpvae_16_2,0.020706565,,199,554.7816679
97,2,0.001,0.001,1,svgpvae_16_2,0.022734184,,199,546.9880369
98,2,0.001,0.001,2,svgpvae_16_2,0.022768709,,199,525.7198954
99,2,0.001,0.001,3,svgpvae_16_2,0.022078788,,199,526.7676597
100,2,0.001,0.001,4,svgpvae_16_2,0.023991739,,199,507.5680656
101,5,0.001,0.001,0,svgpvae_16_2,0.035897581,,199,1308.864405
102,5,0.001,0.001,1,svgpvae_16_2,0.038571984,,199,1290.210978
103,5,0.001,0.001,2,svgpvae_16_2,0.036688732,,199,1246.598752
104,5,0.001,0.001,3,svgpvae_16_2,0.034158319,,199,1221.656559
105,5,0.001,0.001,4,svgpvae_16_2,0.040896269,,199,1178.482135
