,d,beta,re_prior,experiment,exp_type,mse_X,sigma_b0_spatial_est,n_epoch,time
81,5,0.001,0.001,1,pca-ohe,0.010030766,,,8.168482065
82,5,0.001,0.001,1,vae-ignore,0.004195951,,200,61.44962668
83,5,0.001,0.001,1,vae-ohe,0.019163853,,200,261.1565897
84,5,0.001,0.001,1,vae-em,0.004072299,,200,67.57988358
85,5,0.001,0.001,2,lmmvae,0.00468951,9.19E-06,200,116.1199415
86,5,0.001,0.001,2,lmmvae-sfc,0.003939734,0.00025829,200,100.7433965
87,5,0.001,0.001,2,pca-ignore,0.009524687,,,0.156148911
88,5,0.001,0.001,2,pca-ohe,0.009955178,,,8.241997004
89,5,0.001,0.001,2,vae-ignore,0.004108278,,200,62.00148582
90,5,0.001,0.001,2,vae-ohe,0.019116891,,200,264.7447622
91,5,0.001,0.001,2,vae-em,0.004174052,,200,67.84922242
92,5,0.001,0.001,3,lmmvae,0.004170502,8.42E-06,200,116.9241364
93,5,0.001,0.001,3,lmmvae-sfc,0.003989163,0.000260834,200,100.5194919
94,5,0.001,0.001,3,pca-ignore,0.009539712,,,0.158499956
95,5,0.001,0.001,3,pca-ohe,0.009905765,,,8.273028851
96,5,0.001,0.001,3,vae-ignore,0.004392154,,200,62.23460722
97,5,0.001,0.001,3,vae-ohe,0.018426334,,200,263.4262786
98,5,0.001,0.001,3,vae-em,0.004237266,,200,66.92705369
99,1,0.001,0.001,0,svgpvae_16_2,0.017595207,,199,309.9816918
100,1,0.001,0.001,1,svgpvae_16_2,0.017780095,,199,303.0816395
101,1,0.001,0.001,2,svgpvae_16_2,0.017759222,,199,302.9354591
102,1,0.001,0.001,3,svgpvae_16_2,0.018109294,,199,302.7771273
103,1,0.001,0.001,4,svgpvae_16_2,0.017523441,,199,302.1721563
104,2,0.001,0.001,0,svgpvae_16_2,0.016425511,,199,539.1712267
105,2,0.001,0.001,1,svgpvae_16_2,0.016799557,,199,537.5915098
106,2,0.001,0.001,2,svgpvae_16_2,0.017418252,,199,536.538399
107,2,0.001,0.001,3,svgpvae_16_2,0.016687043,,199,537.0354874
108,2,0.001,0.001,4,svgpvae_16_2,0.017097656,,199,533.4597917
109,5,0.001,0.001,0,svgpvae_16_2,0.016880241,,199,1230.280244
110,5,0.001,0.001,1,svgpvae_16_2,0.016362139,,199,1247.139472
111,5,0.001,0.001,2,svgpvae_16_2,0.016611628,,199,1233.127873
112,5,0.001,0.001,3,svgpvae_16_2,0.016133536,,199,1233.462899
113,5,0.001,0.001,4,svgpvae_16_2,0.016071037,,199,1230.684779
