mode,N,p,d,sig2e,beta,re_prior,q0,sig2b0,sig2b1,sig2b2,rho0,rho1,sig2bs_identical,thresh,experiment,exp_type,mse_X,sig2e_est,sig2b_est0,sig2b_est1,sig2b_est2,rho_est0,rho_est1,n_epochs,time,total_loss_tr,recon_loss_tr,kl_loss_tr,re_kl_loss_tr,total_loss_te,recon_loss_te,kl_loss_te,re_kl_loss_te
longitudinal,100000,100,2,1,0.001,1,1000,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,1,pca-ignore,2.343456856,,,,,,,,1.079068184,137.0321536,,,,155.0724511,,,
longitudinal,100000,100,2,1,0.001,1,1000,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,1,vae-ignore,2.052196072,,,,,,,200,96.25306225,150.1481171,150.1286316,19.53241348,,205.4850464,205.4654846,19.45065308,
longitudinal,100000,100,2,1,0.001,1,1000,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,1,vae-embed,2.115055672,,,,,,,200,115.2260239,154.4292603,154.3713684,57.75532532,,211.8301544,211.7736206,56.56513214,
longitudinal,100000,100,2,1,0.001,1,1000,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,1,lmmvae,1.239069974,,0.403553873,0.049675237,0.049448151,,,200,214.2297401,103.5561295,102.4999619,22.03326797,1033.925903,100.8767548,99.79149628,22.1893158,1063.12439
longitudinal,100000,100,2,1,0.001,1,1000,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,2,pca-ignore,2.485846744,,,,,,,,1.112713814,137.7605844,,,,155.132963,,,
longitudinal,100000,100,2,1,0.001,1,1000,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,2,vae-ignore,2.089705112,,,,,,,200,95.74572062,152.9436035,152.920639,23.05008507,,209.2595367,209.2362671,23.19353294,
longitudinal,100000,100,2,1,0.001,1,1000,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,2,vae-embed,2.096865442,,,,,,,200,115.1211257,153.572464,153.5503235,21.80365753,,209.9609528,209.9389496,21.85735703,
longitudinal,100000,100,2,1,0.001,1,1000,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,2,lmmvae,1.22823096,,0.404975772,0.051023655,0.052730221,,,200,213.4373016,101.2816467,100.2554321,16.40041733,1009.806824,99.97840881,98.92189026,16.53266907,1039.949951
longitudinal,100000,100,2,1,0.001,1,1000,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,3,pca-ignore,2.355033171,,,,,,,,1.04673171,135.3391151,,,,153.0169498,,,
longitudinal,100000,100,2,1,0.001,1,1000,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,3,vae-ignore,2.05438874,,,,,,,200,95.62090993,150.5118256,150.4940796,17.7602272,,205.7076416,205.6899414,17.77070236,
