mode,N,p,d,sig2e,beta,re_prior,q_spatial,sig2b0_spatial,sig2b1_spatial,sig2bs_identical,thresh,experiment,exp_type,mse_X,sig2e_est,sig2b_spatial_est0,sig2b_spatial_est1,n_epochs,time,total_loss_tr,recon_loss_tr,kl_loss_tr,re_kl_loss_tr,total_loss_te,recon_loss_te,kl_loss_te,re_kl_loss_te
spatial,100000,100,2,1,0.0001,1,10000,0.3,0.3,FALSE,0.0001,2,vae-ignore,1.478031312,,,,200,107.6076612,148.0433655,148.0288544,147.6173096,,148.5392914,148.524353,147.5525055,
spatial,100000,100,2,1,0.0001,1,10000,0.3,0.3,FALSE,0.0001,2,vae-embed,1.368517779,,,,200,160.4301364,125.7078323,125.6993713,84.38028717,,137.1291199,137.1212311,79.41468811,
spatial,100000,100,2,1,0.0001,1,10000,0.3,0.3,FALSE,0.0001,2,lmmvae,1.089473681,,0.376686245,,200,219.5862408,134.3028717,133.9274597,23.62277794,3730.347168,135.2871857,134.9130554,23.55741501,3717.375
spatial,100000,100,2,1,0.0001,1,10000,0.3,0.3,FALSE,0.0001,3,pca-ignore,1.660332058,,,,,1.507340908,136.980792,,,,136.821913,,,
spatial,100000,100,2,1,0.0001,1,10000,0.3,0.3,FALSE,0.0001,3,vae-ignore,1.386774282,,,,200,108.5336258,139.1027679,139.0916901,112.8385544,,139.3123932,139.3010406,112.4650879,
spatial,100000,100,2,1,0.0001,1,10000,0.3,0.3,FALSE,0.0001,3,vae-embed,1.317536092,,,,200,131.524101,123.7656708,123.7580948,75.30851746,,132.2056274,132.1982117,74.02823639,
spatial,100000,100,2,1,0.0001,1,10000,0.3,0.3,FALSE,0.0001,3,lmmvae,1.185119992,,0.311507732,,200,219.3897746,141.6225433,141.1928864,131.9851379,4163.609375,142.0312195,141.602951,130.6565552,4151.837402
spatial,100000,100,2,1,0.0001,1,10000,0.3,0.3,FALSE,0.0001,4,pca-ignore,1.752311726,,,,,1.275708437,137.8020912,,,,137.6174877,,,
spatial,100000,100,2,1,0.0001,1,10000,0.3,0.3,FALSE,0.0001,4,vae-ignore,1.260404798,,,,200,108.6852365,125.4304962,125.4279022,26.04852676,,126.2270584,126.224472,25.72278214,
spatial,100000,100,2,1,0.0001,1,10000,0.3,0.3,FALSE,0.0001,4,vae-embed,1.348648287,,,,200,133.9202266,128.912735,128.9070892,54.87911606,,135.1226807,135.1172333,53.78079987,
spatial,100000,100,2,1,0.0001,1,10000,0.3,0.3,FALSE,0.0001,4,lmmvae,1.042471548,,0.347829133,,200,221.1663637,131.2023773,130.8385162,28.96756363,3609.449219,131.8910675,131.5265808,28.97512054,3614.70752
spatial,100000,100,1,1,0.0001,1,10000,0.3,3,FALSE,0.0001,0,pca-ignore,1.341021066,,,,,1.980327845,140.6068171,,,,140.6090375,,,
spatial,100000,100,1,1,0.0001,1,10000,0.3,3,FALSE,0.0001,0,vae-ignore,1.333440426,,,,200,104.6307981,134.102005,134.0948792,70.43414307,,134.0265503,134.0194397,70.63637543,
spatial,100000,100,1,1,0.0001,1,10000,0.3,3,FALSE,0.0001,0,vae-embed,1.101459161,,,,200,123.5499377,110.3662033,110.3647156,15.26345634,,110.821907,110.8203735,15.27192783,
spatial,100000,100,1,1,0.0001,1,10000,0.3,3,FALSE,0.0001,0,lmmvae,1.026963871,,0.083642438,,200,214.7879987,111.0616531,110.955452,22.48725128,1040.36145,111.1938934,111.0881195,22.6156292,1035.097046
spatial,100000,100,1,1,0.0001,1,10000,0.3,3,FALSE,0.0001,1,pca-ignore,1.23600099,,,,,1.928048849,139.900474,,,,139.8750355,,,
spatial,100000,100,1,1,0.0001,1,10000,0.3,3,FALSE,0.0001,1,vae-ignore,1.056211186,,,,200,105.8518324,106.3934708,106.3904343,30.93795204,,106.2861862,106.2831345,31.32181931,
spatial,100000,100,1,1,0.0001,1,10000,0.3,3,FALSE,0.0001,1,vae-embed,1.115946672,,,,200,129.4809742,108.5214233,108.5097275,118.03759,,112.2654419,112.253952,114.8262939,
spatial,100000,100,1,1,0.0001,1,10000,0.3,3,FALSE,0.0001,1,lmmvae,0.999308922,,0.06915208,,200,218.3545837,105.0124588,104.9231949,18.4654274,873.4387817,105.1263351,105.0380478,18.57549858,863.8310547
spatial,100000,100,1,1,0.0001,1,10000,0.3,3,FALSE,0.0001,2,pca-ignore,1.200131606,,,,,1.216092348,139.3319956,,,,139.2822033,,,
spatial,100000,100,1,1,0.0001,1,10000,0.3,3,FALSE,0.0001,2,vae-ignore,1.058007281,,,,200,101.6182902,106.4282379,106.4268265,13.62259388,,106.4811478,106.479805,13.89015865,
spatial,100000,100,1,1,0.0001,1,10000,0.3,3,FALSE,0.0001,2,vae-embed,1.10728679,,,,200,125.6537015,109.1074982,109.1029358,46.6341362,,111.4184723,111.4139404,45.8456192,
spatial,100000,100,1,1,0.0001,1,10000,0.3,3,FALSE,0.0001,2,lmmvae,0.996750224,,0.070319287,,200,210.671519,104.9120102,104.8250275,11.63365364,858.4155884,104.8313293,104.7442856,11.72176743,859.2171631
spatial,100000,100,1,1,0.0001,1,10000,0.3,3,FALSE,0.0001,3,pca-ignore,1.196096387,,,,,1.143049002,139.496965,,,,139.3601233,,,
spatial,100000,100,1,1,0.0001,1,10000,0.3,3,FALSE,0.0001,3,vae-ignore,1.057744527,,,,200,101.1148169,106.6705704,106.6652069,54.10319901,,106.3642502,106.3587875,54.26715851,
spatial,100000,100,1,1,0.0001,1,10000,0.3,3,FALSE,0.0001,3,vae-embed,1.084755797,,,,200,122.3358839,108.0457306,108.0343246,112.9955139,,109.1163025,109.1051636,110.9174652,
spatial,100000,100,1,1,0.0001,1,10000,0.3,3,FALSE,0.0001,3,lmmvae,1.003029674,,0.08709199,,200,211.1427999,106.0745544,105.959137,52.0104332,1103.59375,106.1142349,105.9992371,52.02342987,1097.513916
spatial,100000,100,1,1,0.0001,1,10000,0.3,3,FALSE,0.0001,4,pca-ignore,1.259087621,,,,,1.196695089,139.8662375,,,,139.7904516,,,
spatial,100000,100,1,1,0.0001,1,10000,0.3,3,FALSE,0.0001,4,vae-ignore,1.070860293,,,,200,101.4865465,107.641449,107.6385193,30.49054337,,107.7494354,107.7464828,29.77574921,
spatial,100000,100,1,1,0.0001,1,10000,0.3,3,FALSE,0.0001,4,vae-embed,1.108266627,,,,200,122.5032949,110.5486603,110.5357361,130.4147186,,111.5046539,111.4918442,127.5647659,
spatial,100000,100,1,1,0.0001,1,10000,0.3,3,FALSE,0.0001,4,lmmvae,1.427740226,,0.080322199,,200,207.9831777,153.6510925,153.4618073,91.3167572,1802.859863,154.0391998,153.8452911,91.28230286,1848.132568
spatial,100000,100,2,1,0.0001,1,10000,0.3,3,FALSE,0.0001,0,pca-ignore,1.420730963,,,,,1.252490759,137.6010414,,,,137.425307,,,
spatial,100000,100,2,1,0.0001,1,10000,0.3,3,FALSE,0.0001,0,vae-ignore,1.062121605,,,,200,106.3260968,106.1408768,106.1379623,29.89676094,,106.7002106,106.6972198,29.87888145,
spatial,100000,100,2,1,0.0001,1,10000,0.3,3,FALSE,0.0001,0,vae-embed,1.132927878,,,,200,124.4232757,108.7560959,108.7494507,64.61199951,,113.9230499,113.916748,63.74779129,
spatial,100000,100,2,1,0.0001,1,10000,0.3,3,FALSE,0.0001,0,lmmvae,1.140198701,,0.075057559,,200,209.9103687,119.94487,119.8288879,173.7582703,986.4025879,120.1304626,120.0149841,174.3599396,980.1646729
spatial,100000,100,2,1,0.0001,1,10000,0.3,3,FALSE,0.0001,1,pca-ignore,1.441998621,,,,,1.200591326,138.7122651,,,,138.678985,,,
spatial,100000,100,2,1,0.0001,1,10000,0.3,3,FALSE,0.0001,1,vae-ignore,1.070435243,,,,200,103.5469964,107.0106812,107.0084534,21.96463585,,107.5678482,107.565834,21.717453,
spatial,100000,100,2,1,0.0001,1,10000,0.3,3,FALSE,0.0001,1,vae-embed,1.168889584,,,,200,123.1778986,110.0873642,110.0803375,71.1175766,,117.526741,117.5198669,68.85360718,
spatial,100000,100,2,1,0.0001,1,10000,0.3,3,FALSE,0.0001,1,lmmvae,1.007068988,,0.087689273,,200,207.9446917,107.3434753,107.2464828,23.53977394,946.7250977,107.880867,107.7846069,23.35597801,938.244873
spatial,100000,100,2,1,0.0001,1,10000,0.3,3,FALSE,0.0001,2,pca-ignore,1.448078399,,,,,1.209140301,137.7414131,,,,137.8017904,,,
spatial,100000,100,2,1,0.0001,1,10000,0.3,3,FALSE,0.0001,2,vae-ignore,1.172844614,,,,200,103.4822657,117.3358765,117.319397,165.1560669,,117.9729919,117.9565201,164.1706696,
spatial,100000,100,2,1,0.0001,1,10000,0.3,3,FALSE,0.0001,2,vae-embed,1.101872232,,,,200,125.8878756,109.2094498,109.2064438,27.83441544,,110.8518982,110.849205,27.59185219,
spatial,100000,100,2,1,0.0001,1,10000,0.3,3,FALSE,0.0001,2,lmmvae,1.005262104,,0.06471774,,200,207.2966936,104.6366882,104.5551224,22.70602226,793.177002,105.2457886,105.1660156,22.74872971,774.9929199
spatial,100000,100,2,1,0.0001,1,10000,0.3,3,FALSE,0.0001,3,pca-ignore,1.405979288,,,,,1.204004526,134.9652136,,,,135.0997093,,,
spatial,100000,100,2,1,0.0001,1,10000,0.3,3,FALSE,0.0001,3,vae-ignore,1.086353823,,,,200,102.8891385,108.2849274,108.2813644,34.3988533,,109.3430099,109.3396072,34.78490829,
spatial,100000,100,2,1,0.0001,1,10000,0.3,3,FALSE,0.0001,3,vae-embed,1.142920632,,,,200,124.2892635,108.4294739,108.4238968,54.86394501,,115.0058136,115.0003357,54.38589859,
spatial,100000,100,2,1,0.0001,1,10000,0.3,3,FALSE,0.0001,3,lmmvae,1.025891389,,0.062566452,,200,210.3305347,107.0026855,106.9143524,24.73863792,859.34198,107.733757,107.6429291,24.90338516,883.9851074
spatial,100000,100,2,1,0.0001,1,10000,0.3,3,FALSE,0.0001,4,pca-ignore,1.452417801,,,,,1.907098055,136.1725958,,,,136.1810232,,,
spatial,100000,100,2,1,0.0001,1,10000,0.3,3,FALSE,0.0001,4,vae-ignore,1.175229076,,,,200,158.9123633,117.8513336,117.8480225,33.0561409,,118.1661682,118.1628952,33.20327759,
spatial,100000,100,2,1,0.0001,1,10000,0.3,3,FALSE,0.0001,4,vae-embed,1.19436491,,,,200,124.7652631,110.1381989,110.1309128,70.07551575,,120.0832291,120.0762863,68.59922028,
spatial,100000,100,2,1,0.0001,1,10000,0.3,3,FALSE,0.0001,4,lmmvae,1.02854377,,0.071771927,,200,209.8791497,107.666626,107.5416718,23.23665237,1227.586304,108.0013428,107.8794861,23.24077797,1195.24939
spatial,100000,100,1,1,0.0001,1,10000,3,0.3,FALSE,0.0001,0,pca-ignore,3.571261096,,,,,1.210337877,137.6619283,,,,137.4183212,,,
spatial,100000,100,1,1,0.0001,1,10000,3,0.3,FALSE,0.0001,0,vae-ignore,1.854308641,,,,200,101.5781939,182.6276398,182.6092682,183.4626465,,185.5018616,185.4829407,189.0200348,
spatial,100000,100,1,1,0.0001,1,10000,3,0.3,FALSE,0.0001,0,vae-embed,2.87266576,,,,200,117.4826553,169.0514069,168.9787445,730.9935303,,287.3858032,287.3656006,200.4480743,
spatial,100000,100,1,1,0.0001,1,10000,3,0.3,FALSE,0.0001,0,lmmvae,1.29490761,,3.404229641,,200,203.9449475,181.172489,178.1787872,67.57250977,29869.44531,184.1805983,181.2576904,67.60236359,29161.47656
spatial,100000,100,1,1,0.0001,1,10000,3,0.3,FALSE,0.0001,1,pca-ignore,3.546786421,,,,,1.731137991,139.3087052,,,,139.784997,,,
spatial,100000,100,1,1,0.0001,1,10000,3,0.3,FALSE,0.0001,1,vae-ignore,1.875937733,,,,200,99.61419034,187.9672546,187.9459991,211.1192474,,187.6585541,187.6363831,222.1350861,
spatial,100000,100,1,1,0.0001,1,10000,3,0.3,FALSE,0.0001,1,vae-embed,2.803365416,,,,200,119.6702211,179.1296387,179.053009,767.0896606,,280.5956116,280.5744629,211.9691925,
spatial,100000,100,1,1,0.0001,1,10000,3,0.3,FALSE,0.0001,1,lmmvae,1.300020465,,3.157353163,,200,202.4281461,169.8969936,167.3035278,8.906164169,25925.75195,170.7541673,168.1381378,8.86686039,26151.42773
spatial,100000,100,1,1,0.0001,1,10000,3,0.3,FALSE,0.0001,2,pca-ignore,3.267754466,,,,,1.123081446,137.6644715,,,,137.453544,,,
spatial,100000,100,1,1,0.0001,1,10000,3,0.3,FALSE,0.0001,2,vae-ignore,1.693383626,,,,200,100.1481075,167.0939178,167.0902405,35.34431839,,169.3783875,169.3747864,35.59220505,
