mode,N,p,d,sig2e,beta,re_prior,q0,q1,q2,sig2b0,sig2b1,sig2b2,sig2bs_identical,thresh,experiment,exp_type,mse_X,sig2e_est,sig2b_est0,sig2b_est1,sig2b_est2,n_epochs,time,total_loss_tr,recon_loss_tr,kl_loss_tr,re_kl_loss_tr,total_loss_te,recon_loss_te,kl_loss_te,re_kl_loss_te
categorical,100000,100,2,1,0.01,1,1000,3000,5000,0.3,0.3,0.3,FALSE,0.0001,0,vae-ignore,2.308053982,,,,,200,95.07087517,230.6646271,230.3594818,30.51431847,,231.1139221,230.8079071,30.62186241,
categorical,100000,100,2,1,0.01,1,1000,3000,5000,0.3,0.3,0.3,FALSE,0.0001,0,vae-embed,2.367473035,,,,,200,140.059294,230.4815979,230.2278442,25.41424179,,237.0029297,236.7516785,25.11751175,
categorical,100000,100,2,1,0.01,1,1000,3000,5000,0.3,0.3,0.3,FALSE,0.0001,0,lmmvae,1.450836713,,0.000564064,0.088508472,0.612719476,200,227.4415071,129.2228241,122.1739883,10.53411484,694.350708,108.7897339,101.7365952,10.50059509,694.8172607
categorical,100000,100,2,1,0.01,1,1000,3000,5000,0.3,0.3,0.3,FALSE,0.0001,1,pca-ignore,2.620486217,,,,,,1.078136444,137.3093091,,,,137.3345671,,,
categorical,100000,100,2,1,0.01,1,1000,3000,5000,0.3,0.3,0.3,FALSE,0.0001,1,pca-ohe,2.631140963,,,,,,234.039366,12895.15933,,,,13241.25519,,,
categorical,100000,100,2,1,0.01,1,1000,3000,5000,0.3,0.3,0.3,FALSE,0.0001,1,vae-ignore,2.158360798,,,,,200,92.93456721,215.1478271,215.0073547,14.04567814,,215.9760437,215.8361206,13.99215984,
categorical,100000,100,2,1,0.01,1,1000,3000,5000,0.3,0.3,0.3,FALSE,0.0001,1,vae-embed,2.202321515,,,,,200,142.4570842,216.7924042,216.634079,15.8411684,,220.3938293,220.2362213,15.74444199,
categorical,100000,100,2,1,0.01,1,1000,3000,5000,0.3,0.3,0.3,FALSE,0.0001,1,lmmvae,1.504979854,,0.00055678,0.084193237,0.632693112,200,227.50741,134.9420624,127.8089981,10.68838501,702.6443481,112.7857971,105.6531219,10.69373226,702.5759277
categorical,100000,100,2,1,0.01,1,1000,3000,5000,0.3,0.3,0.3,FALSE,0.0001,2,pca-ignore,2.552648333,,,,,,0.983785152,136.5460978,,,,136.4888228,,,
categorical,100000,100,2,1,0.01,1,1000,3000,5000,0.3,0.3,0.3,FALSE,0.0001,2,pca-ohe,2.56275788,,,,,,229.390646,12898.76646,,,,13215.28135,,,
categorical,100000,100,2,1,0.01,1,1000,3000,5000,0.3,0.3,0.3,FALSE,0.0001,2,vae-ignore,2.181356161,,,,,200,93.42280054,217.866272,217.7427521,12.37116051,,218.2581787,218.1346436,12.37470341,
categorical,100000,100,2,1,0.01,1,1000,3000,5000,0.3,0.3,0.3,FALSE,0.0001,2,vae-embed,2.191598371,,,,,200,140.5803909,215.1249695,214.9723206,15.24358463,,219.3142548,219.1629028,15.14234257,
categorical,100000,100,2,1,0.01,1,1000,3000,5000,0.3,0.3,0.3,FALSE,0.0001,2,lmmvae,1.410714944,,0.000411552,0.084278993,0.606086791,200,227.6370695,126.2215729,119.2281494,9.828429222,689.515686,105.8389587,98.84470367,9.812010765,689.6117554
categorical,100000,100,2,1,0.01,1,1000,3000,5000,0.3,0.3,0.3,FALSE,0.0001,3,pca-ignore,2.517288048,,,,,,0.927904844,138.2433771,,,,138.3007465,,,
categorical,100000,100,2,1,0.01,1,1000,3000,5000,0.3,0.3,0.3,FALSE,0.0001,3,pca-ohe,2.532941948,,,,,,226.159219,12905.85266,,,,13249.03196,,,
