mode,N,p,d,sig2e,beta,re_prior,q_spatial,sig2b0_spatial,sig2b1_spatial,sig2bs_identical,thresh,experiment,exp_type,mse_X,sig2e_est,sig2b_spatial_est0,sig2b_spatial_est1,n_epochs,time,total_loss_tr,recon_loss_tr,kl_loss_tr,re_kl_loss_tr,total_loss_te,recon_loss_te,kl_loss_te,re_kl_loss_te
spatial,100000,100,2,1,0.0001,1,10000,0.3,0.3,FALSE,0.0001,1,vae-ignore,1.299647598,,,,200,97.65264773,129.9741211,129.9691162,48.2641449,,130.6313934,130.6264343,47.96125793,
spatial,100000,100,2,1,0.0001,1,10000,0.3,0.3,FALSE,0.0001,1,vae-embed,1.417193581,,,,200,114.6458917,133.7297821,133.7215881,82.56414032,,142.36586,142.3577271,81.80384064,
spatial,100000,100,2,1,0.0001,1,10000,0.3,0.3,FALSE,0.0001,1,lmmvae,1.076938993,,0.24326466,,200,192.3640711,128.7511749,128.4978333,32.09609222,2501.065918,127.106163,126.8532639,32.24160767,2495.710449
spatial,100000,100,2,1,0.0001,1,10000,0.3,0.3,FALSE,0.0001,2,pca-ignore,1.627002739,,,,,1.086238623,138.1306385,,,,138.1071017,,,
spatial,100000,100,2,1,0.0001,1,10000,0.3,0.3,FALSE,0.0001,2,vae-ignore,1.176037611,,,,200,96.62584877,116.9701767,116.9672623,28.98962212,,117.7759399,117.773201,28.17225075,
spatial,100000,100,2,1,0.0001,1,10000,0.3,0.3,FALSE,0.0001,2,vae-embed,1.302070812,,,,200,114.5971622,119.9179611,119.9107513,72.78542328,,130.4564972,130.4493561,70.35079193,
spatial,100000,100,2,1,0.0001,1,10000,0.3,0.3,FALSE,0.0001,2,lmmvae,1.026070073,,0.288464725,,200,193.056021,132.1376495,131.8070679,24.63328362,3277.974121,128.1710663,127.8388748,24.29815865,3297.416504
spatial,100000,100,2,1,0.0001,1,10000,0.3,0.3,FALSE,0.0001,3,pca-ignore,1.655430344,,,,,1.106428862,137.8439043,,,,137.8460037,,,
spatial,100000,100,2,1,0.0001,1,10000,0.3,0.3,FALSE,0.0001,3,vae-ignore,1.383589191,,,,200,96.54130125,138.6546631,138.6432953,114.8065491,,139.0300446,139.0185242,115.1279373,
spatial,100000,100,2,1,0.0001,1,10000,0.3,0.3,FALSE,0.0001,3,vae-embed,1.332824663,,,,200,114.2911069,123.9223633,123.9141159,83.35923004,,133.6452942,133.6368408,83.25740814,
spatial,100000,100,2,1,0.0001,1,10000,0.3,0.3,FALSE,0.0001,3,lmmvae,1.171852084,,0.253953934,,200,193.5698121,144.305481,144.0239716,57.13840103,2758.01709,140.1606445,139.8804321,57.45925522,2745.450928
spatial,100000,100,2,1,0.0001,1,10000,0.3,0.3,FALSE,0.0001,4,pca-ignore,1.802413819,,,,,1.702688456,138.1838275,,,,138.0399655,,,
spatial,100000,100,2,1,0.0001,1,10000,0.3,0.3,FALSE,0.0001,4,vae-ignore,1.330537566,,,,200,96.25473976,132.8354034,132.8275146,78.3846283,,133.6516266,133.6435089,80.38428497,
