,mode,N,p,d,sig2e,beta,re_prior,q0,sig2b0,sig2b1,sig2b2,rho0,rho1,sig2bs_identical,thresh,experiment,exp_type,mse_X,sig2e_est,sig2b_est0,sig2b_est1,sig2b_est2,rho_est0,rho_est1,n_epochs,time
186,longitudinal,100000,100,2,1,0.001,1,1000,3,0.3,0.3,0.3,0.3,FALSE,0.0001,1,vae-ignore,5.341888771,,,,,,,200,83.45924211
187,longitudinal,100000,100,2,1,0.001,1,1000,3,0.3,0.3,0.3,0.3,FALSE,0.0001,1,vae-embed,5.387698262,,,,,,,200,88.98722196
188,longitudinal,100000,100,2,1,0.001,1,1000,3,0.3,0.3,0.3,0.3,FALSE,0.0001,1,lmmvae,1.308905745,,2.446978807,0.132799938,0.022997873,,,200,194.2431939
189,longitudinal,100000,100,2,1,0.001,1,1000,3,0.3,0.3,0.3,0.3,FALSE,0.0001,2,pca-ignore,5.687551042,,,,,,,,0.935965776
190,longitudinal,100000,100,2,1,0.001,1,1000,3,0.3,0.3,0.3,0.3,FALSE,0.0001,2,vae-ignore,5.357801047,,,,,,,200,82.87815666
191,longitudinal,100000,100,2,1,0.001,1,1000,3,0.3,0.3,0.3,0.3,FALSE,0.0001,2,vae-embed,5.339077402,,,,,,,200,88.87753153
192,longitudinal,100000,100,2,1,0.001,1,1000,3,0.3,0.3,0.3,0.3,FALSE,0.0001,2,lmmvae,1.282853764,,2.442622185,0.132697701,0.023407079,,,200,194.7758036
193,longitudinal,100000,100,2,1,0.001,1,1000,3,0.3,0.3,0.3,0.3,FALSE,0.0001,3,pca-ignore,5.730454199,,,,,,,,0.745043516
194,longitudinal,100000,100,2,1,0.001,1,1000,3,0.3,0.3,0.3,0.3,FALSE,0.0001,3,vae-ignore,5.30462259,,,,,,,200,82.95825291
195,longitudinal,100000,100,2,1,0.001,1,1000,3,0.3,0.3,0.3,0.3,FALSE,0.0001,3,vae-embed,5.351838617,,,,,,,200,89.17028379
196,longitudinal,100000,100,2,1,0.001,1,1000,3,0.3,0.3,0.3,0.3,FALSE,0.0001,3,lmmvae,1.342450576,,2.413955927,0.133185133,0.022856575,,,200,194.557066
197,longitudinal,100000,100,2,1,0.001,1,1000,3,0.3,0.3,0.3,0.3,FALSE,0.0001,4,pca-ignore,5.567347735,,,,,,,,0.907279015
198,longitudinal,100000,100,2,1,0.001,1,1000,3,0.3,0.3,0.3,0.3,FALSE,0.0001,4,vae-ignore,5.321658201,,,,,,,200,83.03039479
199,longitudinal,100000,100,2,1,0.001,1,1000,3,0.3,0.3,0.3,0.3,FALSE,0.0001,4,vae-embed,5.397373375,,,,,,,200,89.62622952
200,longitudinal,100000,100,2,1,0.001,1,1000,3,0.3,0.3,0.3,0.3,FALSE,0.0001,4,lmmvae,1.300144971,,2.430250883,0.133063182,0.023214087,,,200,193.9885464
201,longitudinal,100000,100,1,1,0.001,1,1000,3,0.3,3,0.3,0.3,FALSE,0.0001,0,pca-ignore,8.436605559,,,,,,,,0.752654076
202,longitudinal,100000,100,1,1,0.001,1,1000,3,0.3,3,0.3,0.3,FALSE,0.0001,0,vae-ignore,8.164789107,,,,,,,200,80.6243422
203,longitudinal,100000,100,1,1,0.001,1,1000,3,0.3,3,0.3,0.3,FALSE,0.0001,0,vae-embed,8.180323379,,,,,,,200,86.84636259
204,longitudinal,100000,100,1,1,0.001,1,1000,3,0.3,3,0.3,0.3,FALSE,0.0001,0,lmmvae,2.067885632,,2.586061478,0.214577749,0.053764429,,,200,191.925739
205,longitudinal,100000,100,1,1,0.001,1,1000,3,0.3,3,0.3,0.3,FALSE,0.0001,1,pca-ignore,8.442762706,,,,,,,,0.665653467
206,longitudinal,100000,100,1,1,0.001,1,1000,3,0.3,3,0.3,0.3,FALSE,0.0001,1,vae-ignore,8.18216477,,,,,,,200,81.1270647
207,longitudinal,100000,100,1,1,0.001,1,1000,3,0.3,3,0.3,0.3,FALSE,0.0001,1,vae-embed,8.284109284,,,,,,,200,87.6834271
208,longitudinal,100000,100,1,1,0.001,1,1000,3,0.3,3,0.3,0.3,FALSE,0.0001,1,lmmvae,2.032886432,,2.602201223,0.217876568,0.055464998,,,200,191.3339736
209,longitudinal,100000,100,1,1,0.001,1,1000,3,0.3,3,0.3,0.3,FALSE,0.0001,2,pca-ignore,8.311128645,,,,,,,,0.902266026
210,longitudinal,100000,100,1,1,0.001,1,1000,3,0.3,3,0.3,0.3,FALSE,0.0001,2,vae-ignore,8.166229304,,,,,,,200,80.35212612
211,longitudinal,100000,100,1,1,0.001,1,1000,3,0.3,3,0.3,0.3,FALSE,0.0001,2,vae-embed,8.168035742,,,,,,,200,86.59719348
212,longitudinal,100000,100,1,1,0.001,1,1000,3,0.3,3,0.3,0.3,FALSE,0.0001,2,lmmvae,2.100051562,,2.608004093,0.213056922,0.051821567,,,200,192.2653887
213,longitudinal,100000,100,1,1,0.001,1,1000,3,0.3,3,0.3,0.3,FALSE,0.0001,3,pca-ignore,8.308963802,,,,,,,,0.689944267
214,longitudinal,100000,100,1,1,0.001,1,1000,3,0.3,3,0.3,0.3,FALSE,0.0001,3,vae-ignore,8.108633177,,,,,,,200,80.38960028
215,longitudinal,100000,100,1,1,0.001,1,1000,3,0.3,3,0.3,0.3,FALSE,0.0001,3,vae-embed,8.099823765,,,,,,,200,87.06220269
216,longitudinal,100000,100,1,1,0.001,1,1000,3,0.3,3,0.3,0.3,FALSE,0.0001,3,lmmvae,2.276741799,,2.588631392,0.21880722,0.057242107,,,200,192.0606449
217,longitudinal,100000,100,1,1,0.001,1,1000,3,0.3,3,0.3,0.3,FALSE,0.0001,4,pca-ignore,8.321376515,,,,,,,,0.984894276
218,longitudinal,100000,100,1,1,0.001,1,1000,3,0.3,3,0.3,0.3,FALSE,0.0001,4,vae-ignore,8.13005948,,,,,,,200,80.85584927
219,longitudinal,100000,100,1,1,0.001,1,1000,3,0.3,3,0.3,0.3,FALSE,0.0001,4,vae-embed,8.129257922,,,,,,,200,86.96139359
220,longitudinal,100000,100,1,1,0.001,1,1000,3,0.3,3,0.3,0.3,FALSE,0.0001,4,lmmvae,2.103633109,,2.587719202,0.212140277,0.05326486,,,200,192.3703578
221,longitudinal,100000,100,2,1,0.001,1,1000,3,0.3,3,0.3,0.3,FALSE,0.0001,0,pca-ignore,8.406369274,,,,,,,,0.929911613
222,longitudinal,100000,100,2,1,0.001,1,1000,3,0.3,3,0.3,0.3,FALSE,0.0001,0,vae-ignore,8.067473188,,,,,,,200,83.05197072
223,longitudinal,100000,100,2,1,0.001,1,1000,3,0.3,3,0.3,0.3,FALSE,0.0001,0,vae-embed,8.06185194,,,,,,,200,88.95479989
224,longitudinal,100000,100,2,1,0.001,1,1000,3,0.3,3,0.3,0.3,FALSE,0.0001,0,lmmvae,2.123061987,,2.568640232,0.216258466,0.055076785,,,200,194.4564881
225,longitudinal,100000,100,2,1,0.001,1,1000,3,0.3,3,0.3,0.3,FALSE,0.0001,1,pca-ignore,8.321325512,,,,,,,,0.642147303
226,longitudinal,100000,100,2,1,0.001,1,1000,3,0.3,3,0.3,0.3,FALSE,0.0001,1,vae-ignore,8.018065457,,,,,,,200,83.70626688
227,longitudinal,100000,100,2,1,0.001,1,1000,3,0.3,3,0.3,0.3,FALSE,0.0001,1,vae-embed,8.037003337,,,,,,,200,88.83052301
228,longitudinal,100000,100,2,1,0.001,1,1000,3,0.3,3,0.3,0.3,FALSE,0.0001,1,lmmvae,2.082592865,,2.567925453,0.213508219,0.054117735,,,200,194.2504148
229,longitudinal,100000,100,2,1,0.001,1,1000,3,0.3,3,0.3,0.3,FALSE,0.0001,2,pca-ignore,8.414918647,,,,,,,,0.976666689
230,longitudinal,100000,100,2,1,0.001,1,1000,3,0.3,3,0.3,0.3,FALSE,0.0001,2,vae-ignore,8.092088169,,,,,,,200,82.72281837
231,longitudinal,100000,100,2,1,0.001,1,1000,3,0.3,3,0.3,0.3,FALSE,0.0001,2,vae-embed,8.09314915,,,,,,,200,88.61117363
232,longitudinal,100000,100,2,1,0.001,1,1000,3,0.3,3,0.3,0.3,FALSE,0.0001,2,lmmvae,2.128438459,,2.548959017,0.214030266,0.054540392,,,200,194.3134282
233,longitudinal,100000,100,2,1,0.001,1,1000,3,0.3,3,0.3,0.3,FALSE,0.0001,3,pca-ignore,8.447736826,,,,,,,,0.849227428
234,longitudinal,100000,100,2,1,0.001,1,1000,3,0.3,3,0.3,0.3,FALSE,0.0001,3,vae-ignore,8.054112463,,,,,,,200,82.92752099
235,longitudinal,100000,100,2,1,0.001,1,1000,3,0.3,3,0.3,0.3,FALSE,0.0001,3,vae-embed,8.110449909,,,,,,,200,88.88690734
236,longitudinal,100000,100,2,1,0.001,1,1000,3,0.3,3,0.3,0.3,FALSE,0.0001,3,lmmvae,2.111678321,,2.554787397,0.212421507,0.053486072,,,200,194.5467353
237,longitudinal,100000,100,2,1,0.001,1,1000,3,0.3,3,0.3,0.3,FALSE,0.0001,4,pca-ignore,8.359358871,,,,,,,,0.651716709
238,longitudinal,100000,100,2,1,0.001,1,1000,3,0.3,3,0.3,0.3,FALSE,0.0001,4,vae-ignore,8.030877489,,,,,,,200,82.72005105
