,mode,N,p,d,sig2e,beta,re_prior,q0,sig2b0,sig2b1,sig2b2,rho0,rho1,sig2bs_identical,thresh,experiment,exp_type,mse_X,sig2e_est,sig2b_est0,sig2b_est1,sig2b_est2,rho_est0,rho_est1,n_epochs,time
32,longitudinal,100000,100,1,1,0.001,1,100,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,4,vae-ohe,6.495459536,,,,,,,200,143.5589557
33,longitudinal,100000,100,1,1,0.001,1,100,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,4,vrae,8.359905023,,,,,,,200,1144.234474
34,longitudinal,100000,100,1,1,0.001,1,100,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,4,lmmvae,1.676696137,,0.15586412,0.123358011,0.235249534,,,200,113.4241569
35,longitudinal,100000,100,1,1,0.001,1,100,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,4,svgpvae-10-16-2,7.085542379,,,,,,,199,206.0373018
36,longitudinal,100000,100,2,1,0.001,1,100,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,0,pca-ignore,8.120969747,,,,,,,,0.481248379
37,longitudinal,100000,100,2,1,0.001,1,100,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,0,pca-ohe,8.171003514,,,,,,,,8.688899755
38,longitudinal,100000,100,2,1,0.001,1,100,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,0,vae-ignore,4.082615668,,,,,,,200,57.76568246
39,longitudinal,100000,100,2,1,0.001,1,100,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,0,vae-ohe,3.353523962,,,,,,,200,154.666487
40,longitudinal,100000,100,2,1,0.001,1,100,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,0,vrae,8.784966204,,,,,,,200,1257.02985
41,longitudinal,100000,100,2,1,0.001,1,100,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,0,lmmvae,1.795400937,,0.134679914,0.113065109,0.226959959,,,200,113.0677197
42,longitudinal,100000,100,2,1,0.001,1,100,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,0,svgpvae-10-16-2,3.82327364,,,,,,,199,333.4977531
43,longitudinal,100000,100,2,1,0.001,1,100,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,1,pca-ignore,7.759212079,,,,,,,,0.474626541
44,longitudinal,100000,100,2,1,0.001,1,100,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,1,pca-ohe,7.788925122,,,,,,,,8.07703042
45,longitudinal,100000,100,2,1,0.001,1,100,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,1,vae-ignore,3.442760546,,,,,,,200,58.36478519
