,mode,N,p,d,sig2e,beta,re_prior,q0,sig2b0,sig2b1,sig2b2,rho0,rho1,sig2bs_identical,thresh,experiment,exp_type,mse_X,sig2e_est,sig2b_est0,sig2b_est1,sig2b_est2,rho_est0,rho_est1,n_epochs,time
31,longitudinal,100000,100,2,1,0.001,1,1000,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,2,vae-embed,1.595339223,,,,,,,200,89.13715649
32,longitudinal,100000,100,2,1,0.001,1,1000,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,2,lmmvae,1.127593149,,0.33532539,0.033457156,0.010494782,,,200,194.8778684
33,longitudinal,100000,100,2,1,0.001,1,1000,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,3,pca-ignore,1.997821531,,,,,,,,0.829630852
34,longitudinal,100000,100,2,1,0.001,1,1000,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,3,vae-ignore,1.594512147,,,,,,,200,83.20302582
35,longitudinal,100000,100,2,1,0.001,1,1000,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,3,vae-embed,1.623120582,,,,,,,200,88.94519114
36,longitudinal,100000,100,2,1,0.001,1,1000,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,3,lmmvae,1.077360553,,0.33330667,0.034057576,0.012179088,,,200,194.4015098
37,longitudinal,100000,100,2,1,0.001,1,1000,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,4,pca-ignore,2.086679648,,,,,,,,0.807766199
38,longitudinal,100000,100,2,1,0.001,1,1000,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,4,vae-ignore,1.649150435,,,,,,,200,83.32985425
39,longitudinal,100000,100,2,1,0.001,1,1000,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,4,vae-embed,1.656644233,,,,,,,200,89.50036263
40,longitudinal,100000,100,2,1,0.001,1,1000,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,4,lmmvae,1.149623701,,0.334316939,0.032927498,0.010512649,,,200,193.7732306
41,longitudinal,100000,100,1,1,0.001,1,1000,0.3,0.3,3,0.3,0.3,FALSE,0.0001,0,pca-ignore,2.588511457,,,,,,,,0.707943439
42,longitudinal,100000,100,1,1,0.001,1,1000,0.3,0.3,3,0.3,0.3,FALSE,0.0001,0,vae-ignore,2.254838946,,,,,,,200,81.06606531
43,longitudinal,100000,100,1,1,0.001,1,1000,0.3,0.3,3,0.3,0.3,FALSE,0.0001,0,vae-embed,2.276552166,,,,,,,200,87.45348573
44,longitudinal,100000,100,1,1,0.001,1,1000,0.3,0.3,3,0.3,0.3,FALSE,0.0001,0,lmmvae,1.261991718,,0.44581601,0.105847664,0.056303807,,,200,192.3651412
45,longitudinal,100000,100,1,1,0.001,1,1000,0.3,0.3,3,0.3,0.3,FALSE,0.0001,1,pca-ignore,2.482968274,,,,,,,,0.772512913
46,longitudinal,100000,100,1,1,0.001,1,1000,0.3,0.3,3,0.3,0.3,FALSE,0.0001,1,vae-ignore,2.301744031,,,,,,,200,80.82471228
47,longitudinal,100000,100,1,1,0.001,1,1000,0.3,0.3,3,0.3,0.3,FALSE,0.0001,1,vae-embed,2.281756226,,,,,,,200,86.98934031
48,longitudinal,100000,100,1,1,0.001,1,1000,0.3,0.3,3,0.3,0.3,FALSE,0.0001,1,lmmvae,1.256366694,,0.453035176,0.102864303,0.053829823,,,200,191.1218181
49,longitudinal,100000,100,1,1,0.001,1,1000,0.3,0.3,3,0.3,0.3,FALSE,0.0001,2,pca-ignore,2.437217394,,,,,,,,0.695141554
50,longitudinal,100000,100,1,1,0.001,1,1000,0.3,0.3,3,0.3,0.3,FALSE,0.0001,2,vae-ignore,2.256608775,,,,,,,200,80.69920564
51,longitudinal,100000,100,1,1,0.001,1,1000,0.3,0.3,3,0.3,0.3,FALSE,0.0001,2,vae-embed,2.270122879,,,,,,,200,87.12723398
