,mode,N,p,d,sig2e,beta,re_prior,q_spatial,sig2b0_spatial,sig2b1_spatial,sig2bs_identical,thresh,experiment,exp_type,mse_X,sig2e_est,sig2b_spatial_est0,sig2b_spatial_est1,n_epochs,time
100,spatial2,100000,100,2,1,0.001,1,10000,0.3,3,FALSE,0.0001,4,lmmvae,1.099319218,,0.079413377,,200,137.5254574
101,spatial2,100000,100,1,1,0.001,1,10000,3,0.3,FALSE,0.0001,0,pca-ignore,3.504253709,,,,,0.457249641
102,spatial2,100000,100,1,1,0.001,1,10000,3,0.3,FALSE,0.0001,0,pca-ohe,3.507271967,,,,,31.06153989
103,spatial2,100000,100,1,1,0.001,1,10000,3,0.3,FALSE,0.0001,0,vae-ignore,1.6641327,,,,200,87.21638465
104,spatial2,100000,100,1,1,0.001,1,10000,3,0.3,FALSE,0.0001,0,vae-embed,2.142064793,,,,200,91.02354002
105,spatial2,100000,100,1,1,0.001,1,10000,3,0.3,FALSE,0.0001,0,lmmvae,1.642375573,,2.403478384,,200,135.365582
106,spatial2,100000,100,1,1,0.001,1,10000,3,0.3,FALSE,0.0001,1,pca-ignore,3.408316639,,,,,0.464824915
107,spatial2,100000,100,1,1,0.001,1,10000,3,0.3,FALSE,0.0001,1,pca-ohe,3.410983773,,,,,30.28936028
108,spatial2,100000,100,1,1,0.001,1,10000,3,0.3,FALSE,0.0001,1,vae-ignore,1.655353502,,,,200,84.52624273
109,spatial2,100000,100,1,1,0.001,1,10000,3,0.3,FALSE,0.0001,1,vae-embed,2.052463512,,,,200,92.24851775
110,spatial2,100000,100,1,1,0.001,1,10000,3,0.3,FALSE,0.0001,1,lmmvae,1.545723573,,2.261743546,,200,135.8557982
111,spatial2,100000,100,1,1,0.001,1,10000,3,0.3,FALSE,0.0001,2,pca-ignore,3.789832105,,,,,0.486517906
112,spatial2,100000,100,1,1,0.001,1,10000,3,0.3,FALSE,0.0001,2,pca-ohe,3.792891538,,,,,29.50530815
113,spatial2,100000,100,1,1,0.001,1,10000,3,0.3,FALSE,0.0001,2,vae-ignore,1.779197398,,,,200,84.36865902
114,spatial2,100000,100,1,1,0.001,1,10000,3,0.3,FALSE,0.0001,2,vae-embed,2.173547024,,,,200,92.20184326
115,spatial2,100000,100,1,1,0.001,1,10000,3,0.3,FALSE,0.0001,2,lmmvae,1.921448734,,2.307840824,,200,135.3652875
116,spatial2,100000,100,1,1,0.001,1,10000,3,0.3,FALSE,0.0001,3,pca-ignore,3.527289116,,,,,0.451228619
117,spatial2,100000,100,1,1,0.001,1,10000,3,0.3,FALSE,0.0001,3,pca-ohe,3.529786661,,,,,28.79926205
118,spatial2,100000,100,1,1,0.001,1,10000,3,0.3,FALSE,0.0001,3,vae-ignore,1.79321817,,,,200,83.18758845
119,spatial2,100000,100,1,1,0.001,1,10000,3,0.3,FALSE,0.0001,3,vae-embed,2.174456413,,,,200,92.20601487
120,spatial2,100000,100,1,1,0.001,1,10000,3,0.3,FALSE,0.0001,3,lmmvae,1.541252461,,2.518944502,,200,136.6305358
121,spatial2,100000,100,1,1,0.001,1,10000,3,0.3,FALSE,0.0001,4,pca-ignore,3.956392537,,,,,0.461373806
122,spatial2,100000,100,1,1,0.001,1,10000,3,0.3,FALSE,0.0001,4,pca-ohe,3.958681076,,,,,30.70272923
