d,beta,re_prior,experiment,exp_type,mse_X,sigma_b0_est,sigma_b1_est,n_epoch,time,total_loss_tr,recon_loss_tr,kl_loss_tr,re_kl_loss_tr,total_loss_te,recon_loss_te,kl_loss_te,re_kl_loss_te
2,0.01,1,4,pca-ignore,0.796758732,,,,0.178617954,32.02763567,,,,32.17452393,,,
2,0.01,1,4,pca-ohe,0.797648841,,,,4.908856153,1657.576257,,,,1682.335553,,,
2,0.01,1,4,vae-ignore,0.208470819,,,200,37.85280657,4.494425774,4.334180832,16.0242691,,4.810138702,4.650439739,15.96986866,
2,0.01,1,4,vae-embed,0.193938074,,,200,51.45909476,4.247004986,4.08774662,15.92641163,,4.501553535,4.343067169,15.84851933,
5,0.01,1,0,lmmvae,0.004953154,0.615432382,0.003434527,200,67.4339962,1.282706141,0.420822978,8.556926727,77.6313324,1.291795731,0.425783426,8.54787159,78.05334473
5,0.01,1,0,pca-ignore,0.545190026,,,,0.200132847,31.36632889,,,,31.5075065,,,
5,0.01,1,0,pca-ohe,0.547222219,,,,4.817101479,1656.404986,,,,1681.067996,,,
5,0.01,1,0,vae-ignore,0.021237862,,,200,38.2865231,0.672380269,0.460137278,21.2242527,,0.732479692,0.520086169,21.23934937,
5,0.01,1,0,vae-embed,0.030592609,,,200,51.74063277,0.820884705,0.603531003,21.73537254,,0.943194389,0.72581917,21.73755264,
5,0.01,1,1,lmmvae,0.00473607,0.609869719,0.003574765,200,66.43045712,1.286787152,0.433184266,8.480859756,76.87940216,1.296304226,0.442816734,8.465689659,76.88304901
5,0.01,1,1,pca-ignore,0.532561708,,,,0.15682888,31.36778797,,,,31.20351843,,,
5,0.01,1,1,pca-ohe,0.534307022,,,,5.030696392,1656.406199,,,,1680.845234,,,
5,0.01,1,1,vae-ignore,0.022643836,,,200,38.14048505,0.684276164,0.475781739,20.84944916,,0.746017575,0.538400292,20.76173782,
5,0.01,1,1,vae-embed,0.030491465,,,200,51.20817447,0.817454636,0.5959813,22.14727211,,0.950727642,0.729903936,22.08238029,
5,0.01,1,2,lmmvae,0.004913979,0.619033277,0.003329804,200,66.79995322,1.280470371,0.409608543,8.611703873,78.47449493,1.282662034,0.412751466,8.635872841,78.35513306
5,0.01,1,2,pca-ignore,0.540248505,,,,0.205157995,31.35770931,,,,31.33343891,,,
5,0.01,1,2,pca-ohe,0.542844916,,,,4.93044734,1656.397629,,,,1679.950189,,,
5,0.01,1,2,vae-ignore,0.032413079,,,200,47.59348798,0.809073269,0.593488038,21.55851364,,0.979423225,0.76357305,21.5850029,
5,0.01,1,2,vae-embed,0.018166873,,,200,50.66868758,0.581914604,0.36895436,21.29598999,,0.65585053,0.442551792,21.3298893,
5,0.01,1,3,lmmvae,0.00514881,0.608723164,0.003569585,200,66.51856685,1.297934055,0.443740547,8.488418579,76.9309845,1.30035615,0.448040128,8.529227257,76.70238495
5,0.01,1,3,pca-ignore,0.535930871,,,,0.124516487,31.35572252,,,,31.27537229,,,
5,0.01,1,3,pca-ohe,0.538641862,,,,5.82599926,1656.395526,,,,1680.082175,,,
5,0.01,1,3,vae-ignore,0.031419445,,,200,37.99822283,0.794440389,0.58269316,21.17467117,,0.954750955,0.743159294,21.15914154,
5,0.01,1,3,vae-embed,0.038942808,,,200,51.06932712,0.887845814,0.672372162,21.54734421,,1.126683831,0.91147238,21.52114105,
5,0.01,1,4,lmmvae,0.004461415,0.618784547,0.00375992,200,66.35344934,1.272261858,0.418104798,8.253025055,77.16264343,1.27544415,0.419883788,8.193588257,77.36250305
5,0.01,1,4,pca-ignore,0.558458972,,,,0.148377419,31.3755518,,,,31.58873756,,,
5,0.01,1,4,pca-ohe,0.560535938,,,,5.950721264,1656.411504,,,,1681.389998,,,
5,0.01,1,4,vae-ignore,0.024803002,,,200,38.28401351,0.71122396,0.50002259,21.12011337,,0.803355038,0.591906905,21.1448307,
5,0.01,1,4,vae-embed,0.044117096,,,200,52.23526812,1.007257581,0.789632201,21.76254845,,1.243138075,1.02530551,21.78329659,
1,0.001,1,0,vae-ohe,0.533679825,,,200,64.05321646,,,,,,,,
