d,beta,re_prior,experiment,exp_type,mse_X,sigma_b0_spatial_est,n_epoch,time,total_loss_tr,recon_loss_tr,kl_loss_tr,re_kl_loss_tr,total_loss_te,recon_loss_te,kl_loss_te,re_kl_loss_te
5,0.01,0.01,1,lmmvae,0.039756988,1.04E-05,200,143.5156612,6.649312496,6.43056345,20.88616371,0.988500118,7.974831104,7.756879807,20.80127525,0.993521392
5,0.01,0.01,1,pca-ignore,0.052922781,,,1.127388477,269.1811153,,,,269.6112809,,,
5,0.01,0.01,1,vae-ignore,0.040838342,,200,61.07709956,7.414389133,7.200436115,21.39542389,,8.435740471,8.22279644,21.29445457,
5,0.01,0.01,1,vae-em,0.04087393,,200,77.37565398,7.335963249,7.118208408,21.77558708,,8.409809113,8.192696571,21.71148491,
5,0.01,0.01,2,lmmvae,0.039556788,1.07E-05,200,143.8997972,6.673027992,6.445824146,20.66056633,2.060558796,7.940028667,7.713531971,20.59733009,2.052150488
5,0.01,0.01,2,pca-ignore,0.053032622,,,1.125888109,269.2274705,,,,269.4795952,,,
5,0.01,0.01,2,vae-ignore,0.041053591,,200,61.09729958,7.418561935,7.207982063,21.05823517,,8.451237679,8.240893364,21.03414917,
5,0.01,0.01,2,vae-em,0.042097311,,200,75.77736783,7.482294559,7.270655632,21.16374779,,8.681211472,8.470161438,21.10519028,
5,0.01,0.01,3,lmmvae,0.039024936,9.82E-07,200,143.6224959,6.565633774,6.347641945,20.87837791,0.920829475,7.841348171,7.62486124,20.79947472,0.849019527
5,0.01,0.01,3,pca-ignore,0.053262106,,,1.113646269,269.1859345,,,,271.5678147,,,
5,0.01,0.01,3,vae-ignore,0.04010391,,200,60.64154077,7.297934532,7.082574368,21.53603745,,8.259837151,8.044658661,21.51819992,
5,0.01,0.01,3,vae-em,0.040925986,,200,77.30654597,7.400538445,7.183437347,21.71025658,,8.408590317,8.191842079,21.674963,
5,0.01,0.01,4,lmmvae,0.039239991,1.46E-06,200,142.4308183,6.570602894,6.350534916,21.07813263,0.928428292,7.874193668,7.655200958,21.00013924,0.899169147
5,0.01,0.01,4,pca-ignore,0.05270245,,,1.103190184,269.2140916,,,,268.6513061,,,
5,0.01,0.01,4,vae-ignore,0.040129036,,200,60.97022581,7.282048225,7.066137314,21.59100533,,8.263988495,8.048440933,21.5549984,
5,0.01,0.01,4,vae-em,0.041466823,,200,75.71497655,7.47644043,7.263899326,21.25486946,,8.530862808,8.318973541,21.18909073,
