d,beta,re_prior,experiment,exp_type,mse_X,sigma_b0_est,sigma_b1_est,n_epoch,time,total_loss_tr,recon_loss_tr,kl_loss_tr,re_kl_loss_tr,total_loss_te,recon_loss_te,kl_loss_te,re_kl_loss_te
5,0.01,0.01,0,vae-ignore,0.548803179,,,200,93.89868212,73.15847015,72.75247192,40.59616852,,97.09963226,96.71143341,38.82410431,
5,0.01,0.01,0,vae-embed,0.646918518,,,200,129.8139999,72.91087341,72.48745728,42.33501434,,114.2649689,113.8878555,37.71511459,
5,0.01,0.01,1,lmmvae,0.508855336,0.013555831,0.130008325,200,614.4396949,27.53562164,9.862168312,27.55848122,1739.786743,31.86019516,14.06269455,27.00800133,1752.738647
5,0.01,0.01,1,pca-ignore,0.907446997,,,,1.641111135,247.0426837,,,,246.5718213,,,
5,0.01,0.01,1,vae-ignore,0.535805093,,,200,93.72716403,73.51695251,73.11419678,40.27834702,,94.72614288,94.34417725,38.19392014,
5,0.01,0.01,1,vae-embed,0.619969157,,,200,131.1686347,73.69960022,73.27532196,42.41746902,,109.545311,109.1716309,37.36468506,
5,0.01,0.01,2,lmmvae,0.503807208,0.013204542,0.130659446,200,614.2361403,27.58840752,9.938209534,27.94072533,1737.080322,31.62029457,13.86723804,27.54561424,1747.759644
5,0.01,0.01,2,pca-ignore,0.91600472,,,,2.138278961,247.0466478,,,,247.4119268,,,
5,0.01,0.01,2,vae-ignore,0.535841023,,,200,93.81492066,73.99188232,73.56636047,42.55522919,,94.68196106,94.27453613,40.74814987,
5,0.01,0.01,2,vae-embed,0.624324321,,,200,129.5009286,74.20378113,73.79266357,41.10718536,,110.163765,109.796257,36.74793625,
5,0.01,0.01,3,lmmvae,0.500541652,0.013192704,0.128994331,200,612.8307152,27.55972672,9.979783058,27.66881371,1730.321655,31.33543777,13.7409811,27.26832962,1732.180298
5,0.01,0.01,3,pca-ignore,0.907004399,,,,2.21664381,247.0502077,,,,246.5534907,,,
5,0.01,0.01,3,vae-ignore,0.533897219,,,200,94.36972547,74.10582733,73.69626617,40.96060181,,94.26377869,93.87559509,38.82432175,
5,0.01,0.01,3,vae-embed,0.625036494,,,200,133.0116463,74.2117691,73.80375671,40.80723953,,110.2602158,109.8967972,36.34318542,
5,0.01,0.01,4,lmmvae,0.497244975,0.013296158,0.128229156,200,613.5458353,27.24765778,9.768396378,27.76105499,1720.164917,30.92624474,13.33418655,27.28858757,1731.916382
5,0.01,0.01,4,pca-ignore,0.910801917,,,,1.596762896,247.046796,,,,246.8516349,,,
5,0.01,0.01,4,vae-ignore,0.535318112,,,200,94.59899378,73.25513458,72.85325623,40.18449402,,94.58163452,94.19875336,38.28841019,
5,0.01,0.01,4,vae-embed,0.628053731,,,200,130.5162544,73.43457794,73.02767944,40.69439316,,110.9551163,110.5930099,36.2132225,
