d,beta,re_prior,experiment,exp_type,mse_X,sigma_b0_spatial_est,n_epoch,time,total_loss_tr,recon_loss_tr,kl_loss_tr,re_kl_loss_tr,total_loss_te,recon_loss_te,kl_loss_te,re_kl_loss_te
5,0.01,0.01,1,lmmvae,0.010066361,4.99E-05,200,278.0171759,1.034977317,0.545428932,17.37631607,31.57873344,1.068347454,0.581896007,17.52819061,31.11710167
5,0.01,0.01,1,pca-ignore,0.072982053,,,1.362131596,104.4729177,,,,103.1628648,,,
5,0.01,0.01,1,vae-ignore,0.02571104,,200,98.9740777,1.960381985,1.746032953,21.43487358,,2.117764711,1.903082132,21.46803474,
5,0.01,0.01,1,vae-em,0.030594445,,200,151.483439,2.045175791,1.834644198,21.05321121,,2.480014801,2.271115303,20.88991928,
5,0.01,0.01,2,lmmvae,0.009396182,2.07E-05,200,284.4485669,1.119415045,0.65673089,17.235075,29.03333092,1.047186375,0.586267889,16.94234085,29.14953613
5,0.01,0.01,2,pca-ignore,0.062175755,,,1.031553507,104.4722334,,,,104.6021267,,,
5,0.01,0.01,2,vae-ignore,0.025197019,,200,99.48819828,1.924166322,1.709991813,21.41752625,,2.080304861,1.866881371,21.34251404,
5,0.01,0.01,2,vae-em,0.030226009,,200,148.625669,2.040159225,1.829730868,21.04269218,,2.451015234,2.24287653,20.8138752,
5,0.01,0.01,3,lmmvae,0.007452048,2.43E-05,200,282.7793188,0.882434368,0.469697654,17.79638481,23.47721481,0.924182177,0.503887594,17.80361557,24.22580528
5,0.01,0.01,3,pca-ignore,0.064189046,,,1.008404016,104.4603425,,,,105.463467,,,
5,0.01,0.01,3,vae-ignore,0.026340124,,200,103.0830586,1.931711555,1.716567636,21.51451492,,2.181506872,1.96608305,21.54227829,
5,0.01,0.01,3,vae-em,0.030764201,,200,162.6691961,2.002720356,1.790160298,21.25601196,,2.497921467,2.28623271,21.16890335,
5,0.01,0.01,4,lmmvae,0.008421986,7.73E-06,200,285.6180186,0.951893091,0.500241339,17.45550156,27.70960617,0.9881742,0.526047409,17.54183578,28.67085075
5,0.01,0.01,4,pca-ignore,0.069368039,,,1.574552059,104.4989654,,,,105.5826835,,,
5,0.01,0.01,4,vae-ignore,0.026114725,,200,100.5083284,1.97994566,1.766257882,21.36871338,,2.201645374,1.987483263,21.41624832,
5,0.01,0.01,4,vae-em,0.029289807,,200,149.1957023,1.95194757,1.738111854,21.38355255,,2.388992786,2.175432205,21.3560009,
