d,beta,re_prior,experiment,exp_type,mse_X,sigma_b0_est,sigma_b1_est,n_epoch,time,total_loss_tr,recon_loss_tr,kl_loss_tr,re_kl_loss_tr,total_loss_te,recon_loss_te,kl_loss_te,re_kl_loss_te
2,0.01,1,4,pca-ignore,0.793019849,,,,0.160009623,32.03573561,,,,34.55463786,,,
2,0.01,1,4,pca-ohe,0.80982811,,,,4.401506424,1649.062721,,,,1651.56496,,,
2,0.01,1,4,vae-ignore,0.273918042,,,200,33.35102034,5.169147015,5.006406307,16.2741375,,6.504714966,6.338432312,16.62824821,
2,0.01,1,4,vae-embed,0.274974108,,,200,47.79473305,5.298207283,5.138563156,15.96468163,,6.482860565,6.31620121,16.66599846,
5,0.01,1,0,lmmvae,0.018306235,0.611459315,0.006025511,200,57.30612803,1.368520856,0.553584158,8.776661873,72.71694183,2.02721858,1.173331738,8.551856995,76.83681488
5,0.01,1,0,pca-ignore,0.592619786,,,,0.104618311,31.34490977,,,,34.72379112,,,
5,0.01,1,0,pca-ohe,0.611066856,,,,5.293327808,1647.864296,,,,1651.376935,,,
5,0.01,1,0,vae-ignore,0.041867072,,,200,32.82834721,1.048938036,0.835111797,21.38259888,,1.406172872,1.189417839,21.67547226,
5,0.01,1,0,vae-embed,0.06134988,,,200,47.443223,1.169313908,0.950576544,21.8737278,,1.819730878,1.599222422,22.05087471,
5,0.01,1,1,lmmvae,0.019168433,0.618424356,0.005974378,200,56.67343473,1.439925551,0.628104806,8.963792801,72.2181778,2.093725204,1.248711228,9.017212868,75.48419189
5,0.01,1,1,pca-ignore,0.597294679,,,,0.137550592,31.31867795,,,,34.85691001,,,
5,0.01,1,1,pca-ohe,0.616566776,,,,4.312686205,1647.845795,,,,1651.770906,,,
5,0.01,1,1,vae-ignore,0.053893683,,,200,32.93781161,1.165470362,0.950954318,21.45156097,,1.680206537,1.463223577,21.69836807,
5,0.01,1,1,vae-embed,0.052863207,,,200,46.77593994,1.15969789,0.935568929,22.41292381,,1.660049915,1.435089707,22.49607468,
5,0.01,1,2,lmmvae,0.018763249,0.61624068,0.006272734,200,56.46503472,1.411461592,0.606293499,8.477910042,72.03887177,2.023540735,1.173526168,8.236205101,76.76521301
5,0.01,1,2,pca-ignore,0.595488888,,,,0.119247437,31.34449987,,,,34.79540637,,,
5,0.01,1,2,pca-ohe,0.614478138,,,,3.914063931,1647.864727,,,,1651.322378,,,
5,0.01,1,2,vae-ignore,0.049216579,,,200,32.45031095,1.154031277,0.936693907,21.73375511,,1.583873749,1.364948988,21.89245796,
