,mode,N,p,d,sig2e,beta,re_prior,q_spatial,sig2b0_spatial,sig2b1_spatial,sig2bs_identical,thresh,experiment,exp_type,mse_X,sig2e_est,sig2b_spatial_est0,sig2b_spatial_est1,n_epochs,time
40,spatial2,100000,100,2,1.0,0.001,1.0,10000,0.3,0.3,False,0.0001,1,lmmvae,1.0957607594084948,,0.1609291434288025,,200,436.30756974220276
41,spatial2,100000,100,2,1.0,0.001,1.0,10000,0.3,0.3,False,0.0001,1,lmmvae-sfc,1.4523911854753566,,0.4544883966445923,,200,623.4986991882324
42,spatial2,100000,100,2,1.0,0.001,1.0,10000,0.3,0.3,False,0.0001,1,svgpvae-10-16-2,1.8737591065473445,,,,199,3320.2511851787567
43,spatial2,100000,100,2,1.0,0.001,1.0,10000,0.3,0.3,False,0.0001,2,pca-ignore,1.691934369941459,,,,,0.9420578479766846
44,spatial2,100000,100,2,1.0,0.001,1.0,10000,0.3,0.3,False,0.0001,2,pca-ohe,1.6933802686051436,,,,,64.31362533569336
45,spatial2,100000,100,2,1.0,0.001,1.0,10000,0.3,0.3,False,0.0001,2,vae-ignore,1.2641550629340248,,,,200,256.9691262245178
46,spatial2,100000,100,2,1.0,0.001,1.0,10000,0.3,0.3,False,0.0001,2,lmmvae,1.1041385333990132,,0.18276387453079224,,200,435.7354521751404
47,spatial2,100000,100,2,1.0,0.001,1.0,10000,0.3,0.3,False,0.0001,2,lmmvae-sfc,1.421427742631094,,0.47161200642585754,,200,624.5379927158356
48,spatial2,100000,100,2,1.0,0.001,1.0,10000,0.3,0.3,False,0.0001,2,svgpvae-10-16-2,2.0749647206153203,,,,199,3300.805778503418
49,spatial2,100000,100,2,1.0,0.001,1.0,10000,0.3,0.3,False,0.0001,3,pca-ignore,1.6722199377223925,,,,,0.7813014984130859
50,spatial2,100000,100,2,1.0,0.001,1.0,10000,0.3,0.3,False,0.0001,3,pca-ohe,1.6739801623718051,,,,,63.96727108955383
51,spatial2,100000,100,2,1.0,0.001,1.0,10000,0.3,0.3,False,0.0001,3,vae-ignore,1.2056059088522089,,,,200,260.83084416389465
52,spatial2,100000,100,2,1.0,0.001,1.0,10000,0.3,0.3,False,0.0001,3,lmmvae,1.0861611614825797,,0.15431375801563263,,200,434.67080068588257
53,spatial2,100000,100,2,1.0,0.001,1.0,10000,0.3,0.3,False,0.0001,3,lmmvae-sfc,1.409621670973226,,0.4383816421031952,,200,622.8713490962982
54,spatial2,100000,100,2,1.0,0.001,1.0,10000,0.3,0.3,False,0.0001,3,svgpvae-10-16-2,2.0742117394435073,,,,199,3303.7942917346954
55,spatial2,100000,100,2,1.0,0.001,1.0,10000,0.3,0.3,False,0.0001,4,pca-ignore,1.6305275810290671,,,,,0.7550945281982422
56,spatial2,100000,100,2,1.0,0.001,1.0,10000,0.3,0.3,False,0.0001,4,pca-ohe,1.6331267223642192,,,,,64.22979497909546
57,spatial2,100000,100,2,1.0,0.001,1.0,10000,0.3,0.3,False,0.0001,4,vae-ignore,1.235339531768389,,,,200,260.2273828983307
58,spatial2,100000,100,2,1.0,0.001,1.0,10000,0.3,0.3,False,0.0001,4,lmmvae,1.104811729119047,,0.15253880620002747,,200,437.7485704421997
59,spatial2,100000,100,2,1.0,0.001,1.0,10000,0.3,0.3,False,0.0001,4,lmmvae-sfc,1.400610613864188,,0.43022996187210083,,200,629.5878112316132
60,spatial2,100000,100,2,1.0,0.001,1.0,10000,0.3,0.3,False,0.0001,4,svgpvae-10-16-2,1.854824072561522,,,,199,3298.999356508255
61,spatial2,100000,100,1,1.0,0.001,1.0,10000,0.3,3.0,False,0.0001,0,pca-ignore,1.3397200809598724,,,,,0.6362724304199219
62,spatial2,100000,100,1,1.0,0.001,1.0,10000,0.3,3.0,False,0.0001,0,pca-ohe,1.3401607259938324,,,,,57.241074323654175
63,spatial2,100000,100,1,1.0,0.001,1.0,10000,0.3,3.0,False,0.0001,0,vae-ignore,1.0540214712332197,,,,200,256.4158458709717
64,spatial2,100000,100,1,1.0,0.001,1.0,10000,0.3,3.0,False,0.0001,0,lmmvae,1.0430047181756106,,0.06517640501260757,,200,434.0479166507721
65,spatial2,100000,100,1,1.0,0.001,1.0,10000,0.3,3.0,False,0.0001,0,lmmvae-sfc,1.4274730616362774,,0.2891293466091156,,200,630.0130069255829
66,spatial2,100000,100,1,1.0,0.001,1.0,10000,0.3,3.0,False,0.0001,0,svgpvae-10-16-2,1.5124230003628092,,,,199,1782.808670759201
67,spatial2,100000,100,1,1.0,0.001,1.0,10000,0.3,3.0,False,0.0001,1,pca-ignore,1.291127779191202,,,,,0.6261546611785889
68,spatial2,100000,100,1,1.0,0.001,1.0,10000,0.3,3.0,False,0.0001,1,pca-ohe,1.2915394255759853,,,,,57.31089758872986
69,spatial2,100000,100,1,1.0,0.001,1.0,10000,0.3,3.0,False,0.0001,1,vae-ignore,1.0785062801788725,,,,200,259.310170173645
70,spatial2,100000,100,1,1.0,0.001,1.0,10000,0.3,3.0,False,0.0001,1,lmmvae,1.0148948780646345,,0.04967496544122696,,200,437.1162579059601
71,spatial2,100000,100,1,1.0,0.001,1.0,10000,0.3,3.0,False,0.0001,1,lmmvae-sfc,1.3570623154914154,,0.2689899206161499,,200,638.0600154399872
72,spatial2,100000,100,1,1.0,0.001,1.0,10000,0.3,3.0,False,0.0001,1,svgpvae-10-16-2,1.613364479983284,,,,199,1786.4974119663239
