,mode,N,p,d,sig2e,beta,re_prior,q_spatial,sig2b0_spatial,sig2b1_spatial,sig2bs_identical,thresh,experiment,exp_type,mse_X,sig2e_est,sig2b_spatial_est0,sig2b_spatial_est1,n_epochs,time
44,spatial2,100000,100,2,1,0.001,1,10000,0.3,0.3,FALSE,0.0001,2,pca-ohe,1.649783345,,,,,29.345438
45,spatial2,100000,100,2,1,0.001,1,10000,0.3,0.3,FALSE,0.0001,2,vae-ignore,1.219044395,,,,200,87.11136293
46,spatial2,100000,100,2,1,0.001,1,10000,0.3,0.3,FALSE,0.0001,2,lmmvae,1.097054913,,0.210142866,,200,137.2619138
47,spatial2,100000,100,2,1,0.001,1,10000,0.3,0.3,FALSE,0.0001,2,lmmvae-sfc,1.505186535,,0.365982592,,200,179.0239873
48,spatial2,100000,100,2,1,0.001,1,10000,0.3,0.3,FALSE,0.0001,2,svgpvae-10-16-2,2.473339276,,,,199,737.7195618
49,spatial2,100000,100,2,1,0.001,1,10000,0.3,0.3,FALSE,0.0001,3,pca-ignore,1.639250752,,,,,0.485030174
50,spatial2,100000,100,2,1,0.001,1,10000,0.3,0.3,FALSE,0.0001,3,pca-ohe,1.64017834,,,,,29.43552494
51,spatial2,100000,100,2,1,0.001,1,10000,0.3,0.3,FALSE,0.0001,3,vae-ignore,1.188091088,,,,200,87.33227253
52,spatial2,100000,100,2,1,0.001,1,10000,0.3,0.3,FALSE,0.0001,3,lmmvae,1.090603482,,0.220577419,,200,137.756675
53,spatial2,100000,100,2,1,0.001,1,10000,0.3,0.3,FALSE,0.0001,3,lmmvae-sfc,1.450433396,,0.327872008,,200,178.72615
54,spatial2,100000,100,2,1,0.001,1,10000,0.3,0.3,FALSE,0.0001,3,svgpvae-10-16-2,2.293121212,,,,199,738.7991481
55,spatial2,100000,100,2,1,0.001,1,10000,0.3,0.3,FALSE,0.0001,4,pca-ignore,1.605109034,,,,,0.484593391
56,spatial2,100000,100,2,1,0.001,1,10000,0.3,0.3,FALSE,0.0001,4,pca-ohe,1.607239603,,,,,29.8353467
