,d,beta,re_prior,experiment,exp_type,mse_X,sigma_b0_spatial_est,n_epoch,time
88,5,0.001,0.001,2,vae-embed,0.041522466,,200,57.33358884
89,5,0.001,0.001,3,vae-embed,0.041795332,,200,57.22739553
90,5,0.001,0.001,4,vae-embed,0.0415784,,200,57.18336773
5,1,0.001,0.001,0,vae-ignore,0.059925266,,200,51.02607918
10,1,0.001,0.001,1,vae-ignore,0.05884916,,200,51.16151667
15,1,0.001,0.001,2,vae-ignore,0.059317498,,200,51.38936353
20,1,0.001,0.001,3,vae-ignore,0.060874766,,200,51.57170916
25,1,0.001,0.001,4,vae-ignore,0.060844788,,200,50.959378
30,2,0.001,0.001,0,vae-ignore,0.050813599,,200,52.97488737
35,2,0.001,0.001,1,vae-ignore,0.052348305,,200,52.83489156
40,2,0.001,0.001,2,vae-ignore,0.052315694,,200,52.5198288
45,2,0.001,0.001,3,vae-ignore,0.052588921,,200,52.4205451
50,2,0.001,0.001,4,vae-ignore,0.051936418,,200,52.42597961
55,5,0.001,0.001,0,vae-ignore,0.041468478,,200,52.84526491
60,5,0.001,0.001,1,vae-ignore,0.041968497,,200,52.09177804
65,5,0.001,0.001,2,vae-ignore,0.041404484,,200,51.50130105
70,5,0.001,0.001,3,vae-ignore,0.04154384,,200,51.25164604
75,5,0.001,0.001,4,vae-ignore,0.041392249,,200,51.25684071
