,d,beta,re_prior,experiment,exp_type,mse_X,sigma_b0_spatial_est,n_epoch,time
70,5,0.001,0.1,1,vae-ignore,0.004454442,,200,58.66078734
76,5,0.001,0.1,2,vae-ignore,0.004673471,,200,58.82463479
82,5,0.001,0.1,3,vae-ignore,0.004349033,,200,58.98063493
88,5,0.001,0.1,4,vae-ignore,0.004258417,,200,58.64846873
5,1,0.001,0.1,0,vae-ohe,0.024924967,,200,245.3748295
11,1,0.001,0.1,1,vae-ohe,0.025560464,,200,247.7865031
17,1,0.001,0.1,2,vae-ohe,0.025110539,,200,245.6332562
23,1,0.001,0.1,3,vae-ohe,0.025053724,,200,245.1602092
29,1,0.001,0.1,4,vae-ohe,0.024753989,,200,245.5173564
35,2,0.001,0.1,0,vae-ohe,0.024204213,,200,246.130168
41,2,0.001,0.1,1,vae-ohe,0.025176783,,200,246.9853857
47,2,0.001,0.1,2,vae-ohe,0.024881666,,200,246.9680083
53,2,0.001,0.1,3,vae-ohe,0.024557667,,200,246.4977171
59,2,0.001,0.1,4,vae-ohe,0.024292255,,200,246.4625039
65,5,0.001,0.1,0,vae-ohe,0.024250344,,200,246.2564733
71,5,0.001,0.1,1,vae-ohe,0.025790266,,200,246.3577576
77,5,0.001,0.1,2,vae-ohe,0.02488785,,200,246.3519948
83,5,0.001,0.1,3,vae-ohe,0.024684055,,200,246.566067
89,5,0.001,0.1,4,vae-ohe,0.024667511,,200,245.1805999
